critic/grad_norm,critic/iql_loss,critic/loss,critic/q1_loss,critic/q1_q2_abs,critic/q2_loss,critic/q_min_mean,critic/target_mean,critic/td_residual,critic/v_loss,critic/v_mean,preference/accuracy,preference/loss,preference/q1_margin,preference/q2_margin,preference/qmin_margin,preview/loss,preview/q1_mean,preview/q2_mean,preview/residual1_abs,preview/residual2_abs,preview/residual_l2,step,throughput/global_samples_per_sec
1.3015869855880737,0.05350358411669731,0.07921609282493591,0.021388288587331772,0.15467262268066406,0.029484128579497337,-0.04827165603637695,0.07245408743619919,0.12339966744184494,0.0026311660185456276,0.028040409088134766,0.0,0.0,0.0,0.0,0.0,0.02504737302660942,-0.0018650293350219727,-0.030899405479431152,0.10826492309570312,0.02579784393310547,0.0066513605415821075,1,167.03354417202928
0.7363361716270447,0.02355455793440342,0.03289585933089256,0.005267671309411526,0.11579132080078125,0.011321386322379112,0.057566046714782715,0.06418609619140625,0.0681009516119957,0.0069655003026127815,0.062276363372802734,0.0,0.0,0.0,0.0,0.0,0.008520307019352913,0.08136534690856934,0.12444782257080078,0.0571746826171875,0.07327556610107422,0.008209950290620327,20,1174.6826646621219
0.33029043674468994,0.021176131442189217,0.02904084138572216,0.007561153266578913,0.06794357299804688,0.008181864395737648,0.06280618906021118,0.08326613903045654,0.06279370933771133,0.005433116108179092,0.04749250411987305,0.0,0.0,0.0,0.0,0.0,0.007348551414906979,0.09102433919906616,0.10089874267578125,0.038410186767578125,0.040309906005859375,0.00516157504171133,40,1414.533459974049
0.13686050474643707,0.006484732963144779,0.008819779381155968,0.0015322904800996184,0.04708099365234375,0.0025792173109948635,0.08477926254272461,0.10343734174966812,0.04007807746529579,0.0023732250556349754,0.11677074432373047,0.0,0.0,0.0,0.0,0.0,0.0021825837902724743,0.11996221542358398,0.10251867771148682,0.019954681396484375,0.026203155517578125,0.0015246262773871422,60,1499.9003431133556
0.12500795722007751,0.0030710569117218256,0.0043092044070363045,0.000905883964151144,0.03152275085449219,0.001350738457404077,0.08298110961914062,0.08756029605865479,0.03186357393860817,0.0008144344901666045,0.08641815185546875,0.0,0.0,0.0,0.0,0.0,0.0011600033612921834,0.0980539321899414,0.07875633239746094,0.020900726318359375,0.02394390106201172,0.0007814397686161101,80,1527.791279114516
0.12764355540275574,0.0044420696794986725,0.00643059890717268,0.0011152868391945958,0.032627105712890625,0.0021575468126684427,0.10289478302001953,0.13113300502300262,0.0421891026198864,0.0011692356783896685,0.13228130340576172,0.0,0.0,0.0,0.0,0.0,0.0019037425518035889,0.12439799308776855,0.12500476837158203,0.018802642822265625,0.02772998809814453,0.0008478673989884555,100,1554.3584777438707
0.14437144994735718,0.003161138389259577,0.004573639947921038,0.00088394561316818,0.039707183837890625,0.001545872539281845,0.09188175201416016,0.11985781043767929,0.04031499847769737,0.0007313202368095517,0.11125469207763672,0.0,0.0,0.0,0.0,0.0,0.0013376605929806828,0.12612342834472656,0.10654544830322266,0.020467758178710938,0.023378372192382812,0.0007484086090698838,120,1587.4435382241495
0.08271694928407669,0.00408567301928997,0.005997754633426666,0.0014148401096463203,0.029672622680664062,0.0016374837141484022,0.14093971252441406,0.15712425112724304,0.037065811455249786,0.0010333488462492824,0.17043018341064453,0.0,0.0,0.0,0.0,0.0,0.0018457837868481874,0.15612316131591797,0.1471712589263916,0.01921367645263672,0.022027015686035156,0.0006629799026995897,140,1606.2238466909578
0.07560413330793381,0.003679177025333047,0.005165652371942997,0.0015568016096949577,0.027118206024169922,0.0011981662828475237,0.11902284622192383,0.12718723714351654,0.03366955742239952,0.0009242089581675828,0.13959217071533203,0.0,0.0,0.0,0.0,0.0,0.0014408384449779987,0.12869572639465332,0.1305074691772461,0.015387535095214844,0.018012046813964844,0.000456368550658226,160,1624.744088746482
0.07087618857622147,0.0029102612752467394,0.004159139469265938,0.001219230587594211,0.026123046875,0.0009950448293238878,0.13665771484375,0.14945806562900543,0.03255289047956467,0.0006959858001209795,0.14276599884033203,0.0,0.0,0.0,0.0,0.0,0.0012153333518654108,0.14454174041748047,0.15731525421142578,0.014325141906738281,0.013968467712402344,0.00033545249607414007,180,1639.0001063342145
