id,source,seed,success,abort_reason,elapsed_sec,take_action_count,planned_command_count,planning_failures_total,num_replans,position_path_length,mean_position_step,mean_acceleration,mean_jerk,direction_reversal_ratio,stall_ratio_1mm,mean_replan_boundary_jump,boundary_to_within_ratio
sft_64230000_0,sft,64230000,True,,652.8543292530812,421,432,0,14,1.289975643157959,0.0029929829761385918,0.001558411167934537,0.0027640426997095346,0.3038277511961722,0.3341067433357239,0.0015951118682726072,0.525319984978471
sft_64230001_1,sft,64230001,True,,667.0842881929129,374,400,0,13,0.8670691847801208,0.0021731057204306126,0.0012761222897097468,0.002251354278996587,0.3717277486910995,0.42105263471603394,0.0014085436608487119,0.6411759333153123
sft_64230002_2,sft,64230002,True,,1017.9783635111526,659,688,0,22,1.748317003250122,0.0025448573287576437,0.0013977430062368512,0.0024777499493211508,0.3913690476190476,0.42794761061668396,0.0018796026706695557,0.7325504128652612
sft_64230003_3,sft,64230003,False,,1141.119899139274,700,720,0,23,2.0082831382751465,0.002793161431327462,0.001487254980020225,0.002630853559821844,0.3848314606741573,0.37552157044410706,0.002041512293296612,0.7247407075529019
sft_64240000_0,sft,64240000,True,,588.6447227979079,396,400,0,13,0.9996738433837891,0.002505448181182146,0.0013550061266869307,0.0023762648925185204,0.3816793893129771,0.4536340832710266,0.001501795156703641,0.5920576184770407
sft_64240001_1,sft,64240001,True,,1194.1180672370829,693,720,0,23,2.1696956157684326,0.0030176574364304543,0.0015788908349350095,0.0028138021007180214,0.3855932203389831,0.3880389332771301,0.0024868746325161987,0.819557622513796
sft_64240002_2,sft,64240002,False,,1066.9535927050747,700,720,0,23,1.5948131084442139,0.002218098845332861,0.0013876276789233088,0.0024342082906514406,0.3593073593073593,0.40890124440193176,0.001692893930753185,0.7575566506530664
sft_64240003_3,sft,64240003,True,,1093.9877055143006,672,688,0,22,2.052971363067627,0.0029883135575801134,0.0015326044522225857,0.002697630785405636,0.34684684684684686,0.38864627480506897,0.0022127924353948663,0.7344718685172976
sft_64250000_0,sft,64250000,False,,1090.9901264142245,700,720,0,23,2.2076168060302734,0.0030703989323228598,0.0015561096370220184,0.002742958255112171,0.35827338129496406,0.3713490962982178,0.0022658728174230255,0.7319200140045058
sft_64250001_1,sft,64250001,True,,1112.2615129323676,694,720,0,23,2.1024911403656006,0.0029241880401968956,0.0015417278045788407,0.0027372250333428383,0.34626436781609193,0.37273991107940674,0.0022785609524527736,0.7738187836221156
sft_64250002_2,sft,64250002,True,,567.167922121007,351,368,0,12,1.0272018909454346,0.0027989151421934366,0.0014746789820492268,0.002550604520365596,0.3256484149855908,0.41416892409324646,0.0017899937017566779,0.6324865354939467
sft_64250003_3,sft,64250003,True,,1068.448146414943,663,688,0,22,2.227701187133789,0.0032426510006189346,0.0016213958151638508,0.0028700532857328653,0.3281733746130031,0.352256178855896,0.0024307373678311706,0.7437423913958688
sft_64260000_0,sft,64260000,True,,1159.8587426310405,659,688,0,22,1.9854516983032227,0.0028900315519422293,0.0014554872177541256,0.002566566225141287,0.3274336283185841,0.41630277037620544,0.0021313948091119528,0.73144453404318
sft_64260001_1,sft,64260001,False,,1073.103937140666,700,720,0,23,1.9338299036026,0.002689610468223691,0.0014195316471159458,0.0025146924890577793,0.32994186046511625,0.41724616289138794,0.002071716195628555,0.764721074241105
sft_64260002_2,sft,64260002,True,,521.2780316499993,328,336,0,11,0.8675580620765686,0.0025897256564348936,0.0014274191344156861,0.00245678867213428,0.3878787878787879,0.4000000059604645,0.001797595078824088,0.6876538631862907
sft_64260003_3,sft,64260003,False,,991.1183244530112,700,720,0,23,1.940002202987671,0.002698194934055209,0.0014530782354995608,0.002575846388936043,0.3151862464183381,0.3894297778606415,0.0021135958430187948,0.7780162984744732
exp005_64230000_0,exp005,64230000,False,"planning_failed_30_times_{'left': 'Fail', 'right': 'Success'}",774.4295721938834,655,656,41,21,5.191920757293701,0.007926596328616142,0.003886394901201129,0.0065908548422157764,0.2296875,0.10687022656202316,0.008528415986802429,1.078503108446905
exp005_64230001_1,exp005,64230001,True,,240.5154569442384,146,176,41,6,0.9499408006668091,0.0054282331839203835,0.002301159081980586,0.003437073202803731,0.3275862068965517,0.19428572058677673,0.005995127256028354,1.1078371737192045
exp005_64230002_2,exp005,64230002,False,,826.7125529330224,700,720,57,23,5.411635398864746,0.007526613771915436,0.0033746070694178343,0.005336775444447994,0.24094707520891365,0.16828928887844086,0.007185702709565786,0.9533429542323683
exp005_64230003_3,exp005,64230003,True,,187.50136771984398,234,240,57,8,1.8644218444824219,0.007800928317010403,0.002778562717139721,0.003964642994105816,0.2689075630252101,0.1631799191236496,0.0068559271083878616,0.8756598087553727
exp005_64240000_0,exp005,64240000,False,"planning_failed_30_times_{'left': 'Success', 'right': 'Fail'}",735.6604299428873,594,624,50,20,3.1686911582946777,0.005086181685328484,0.0024303363170474768,0.0037963709328323603,0.31511254019292606,0.17977528274059296,0.00509795712883045,1.00238814369299
exp005_64240001_1,exp005,64240001,True,,331.27822592528537,229,240,50,8,1.8174362182617188,0.007604335434734821,0.0025121099315583706,0.0035698036663234234,0.23949579831932774,0.20502091944217682,0.00871520341440503,1.1511575239062652
exp005_64240002_2,exp005,64240002,False,,808.531950479839,700,720,50,23,4.924643516540527,0.00684929545968771,0.0032763720955699682,0.005445541348308325,0.2538569424964937,0.12100139260292053,0.006058797425463457,0.881376259743248
exp005_64240003_3,exp005,64240003,True,,279.12863413989544,404,432,50,14,2.7070112228393555,0.006280768662691116,0.0024160456378012896,0.003556853858754039,0.27906976744186046,0.20649652183055878,0.005973817565693305,0.9496849999206668
exp005_64250000_0,exp005,64250000,True,,298.6366398711689,230,240,0,8,1.9840161800384521,0.008301323279738426,0.002619536127895117,0.0035554340574890375,0.2711864406779661,0.1841004192829132,0.010009151500915843,1.213260812326501
exp005_64250001_1,exp005,64250001,True,,249.33208663295954,146,176,0,6,1.2810252904891968,0.007320144679397345,0.0022607569117099047,0.002974026370793581,0.29069767441860467,0.22285714745521545,0.008638558210805058,1.1863922767815547
exp005_64250002_2,exp005,64250002,True,,207.7977179591544,136,144,0,5,0.9506418704986572,0.006647845264524221,0.002267079660668969,0.002938305726274848,0.25735294117647056,0.2377622425556183,0.008282933005830273,1.2548393127461765
exp005_64250003_3,exp005,64250003,True,,329.05686748214066,225,240,0,8,2.0816304683685303,0.008709751069545746,0.0028348055202513933,0.003859037533402443,0.326271186440678,0.1841004192829132,0.010690978329096521,1.2359551291987418
exp005_64260000_0,exp005,64260000,True,,322.94833247736096,230,240,0,8,1.890270709991455,0.007909082807600498,0.0024943833705037832,0.0032683948520570993,0.2966101694915254,0.2301255166530609,0.01011321582232735,1.2895269006251675
exp005_64260001_1,exp005,64260001,False,,904.5753836832009,700,720,0,23,4.265798568725586,0.005932960659265518,0.0025599277578294277,0.003973584156483412,0.27715877437325903,0.14742697775363922,0.0048490597400814295,0.812622771965266
exp005_64260002_2,exp005,64260002,True,,168.47621191339567,144,144,0,5,0.838251531124115,0.005861898884177208,0.0023392774164676666,0.003382346360012889,0.352112676056338,0.2237762212753296,0.005110796089866199,0.8686639887843488
exp005_64260003_3,exp005,64260003,True,,177.47417774284258,137,144,0,5,1.0647366046905518,0.007445710711181164,0.0025292730424553156,0.0034030864480882883,0.3591549295774648,0.20279720425605774,0.008525702520273626,1.1498485459995214
