lambda_return,fusion_dim,step,train/loss,train/q1_loss,train/q2_loss,train/q_min,train/target,train/td_target,train/mc_target,train/target_abs,train/q_disagreement,train/grad_norm,throughput/steps_per_sec,val/loss,val/target_abs,val/mc_abs,val/q_disagreement,val/q_abs_mean,val/auc,val/stage_macro_auc,val/brier,val/ece,val/success_q,val/failure_q,val/q_gap,val/rows
1.0,1408,1,0.32799240946769714,0.17401209473609924,0.1539803147315979,-0.013823108747601509,0.412422776222229,0.0005418965592980385,0.412422776222229,0.43193015456199646,0.0611039437353611,2.5889859199523926,1.3769740246347435,0.2166029609463833,0.4269653260707855,0.4269653260707855,0.062248144298791885,0.2162938416004181,0.5719828990228013,0.5676675778399952,0.3473800718784332,0.3188601213007871,0.21991945803165436,0.21211984753608704,0.007799610495567322,1721.0
1.0,1408,20,0.14155569672584534,0.07274363934993744,0.0688120573759079,0.360099196434021,0.42640188336372375,0.06598269939422607,0.42640188336372375,0.31717509031295776,0.06132858619093895,0.5613933205604553,4.723154105851357,0.13845899877034956,0.32393985986709595,0.32393985986709595,0.033637456595897675,0.42212381958961487,0.7676520086862106,0.7718959848785271,0.20405001938343048,0.1416730188668848,0.5093980431556702,0.29599976539611816,0.213398277759552,1721.0
1.0,1408,40,0.08496061712503433,0.04411902278661728,0.04084159433841705,0.4397174119949341,0.4325838088989258,0.08785971999168396,0.4325838088989258,0.22582563757896423,0.043662820011377335,0.3771824836730957,5.104631340442914,0.1363042090088129,0.2772139608860016,0.2772139608860016,0.03217996656894684,0.5515856146812439,0.8031636807817589,0.7947067173833348,0.16819360852241516,0.05886998763042764,0.6878438591957092,0.37928375601768494,0.3085601031780243,1721.0
1.0,1408,60,0.1054021567106247,0.052353065460920334,0.05304908752441406,0.3924286961555481,0.4014662206172943,0.11811744421720505,0.4014662206172943,0.2562922537326813,0.04236646369099617,0.47825515270233154,5.1355077849468325,0.1172492576211139,0.26236486434936523,0.26236486434936523,0.031715236604213715,0.5024649500846863,0.8207383279044517,0.8034219358074737,0.1602371782064438,0.0978680543302797,0.6443517208099365,0.30847519636154175,0.3358765244483948,1721.0
1.0,1408,80,0.0907832682132721,0.04598935320973396,0.04479391500353813,0.4711713194847107,0.4159557521343231,0.17011749744415283,0.4159557521343231,0.20943443477153778,0.04922282695770264,0.6538478136062622,5.230840248685997,0.12375609535310003,0.25012555718421936,0.25012555718421936,0.03080761432647705,0.5378058552742004,0.8185613463626493,0.782351174567449,0.15822918713092804,0.0872617003738984,0.703142523765564,0.34357258677482605,0.3595699369907379,1721.0
1.0,1408,100,0.08067747950553894,0.04017161950469017,0.04050585627555847,0.43081170320510864,0.4117206335067749,0.2199929654598236,0.4117206335067749,0.1918167918920517,0.040481116622686386,0.3697360157966614,5.230698542611158,0.12552220946936696,0.24556568264961243,0.24556568264961243,0.02310369908809662,0.5733727216720581,0.8313830076004343,0.7885380101669817,0.1554945409297943,0.07261493303344943,0.7380804419517517,0.383696585893631,0.3543838560581207,1721.0
1.0,1408,120,0.0955914631485939,0.048843592405319214,0.04674787074327469,0.409712016582489,0.42443662881851196,0.2588071823120117,0.42443662881851196,0.23509404063224792,0.047269806265830994,0.24117475748062134,5.221999833030178,0.11535260141654699,0.252025306224823,0.252025306224823,0.03224861994385719,0.4795914888381958,0.8113477198697069,0.7623875467359397,0.16631396114826202,0.09745353037563956,0.6353579759597778,0.2725798487663269,0.3627781271934509,1721.0
1.0,1408,140,0.066104456782341,0.033576060086488724,0.03252840042114258,0.3722561001777649,0.4158894419670105,0.2818851172924042,0.4158894419670105,0.17835745215415955,0.043464064598083496,0.2580832839012146,5.273202024138764,0.11436648625466558,0.24303816258907318,0.24303816258907318,0.037324778735637665,0.5180063843727112,0.8252565146579804,0.766232391695065,0.15623876452445984,0.08395805712929996,0.6777900457382202,0.33320847153663635,0.34458157420158386,1721.0
1.0,1408,160,0.09377206861972809,0.045118607580661774,0.04865346476435661,0.4924509525299072,0.41933292150497437,0.30417799949645996,0.41933292150497437,0.22459976375102997,0.04304208979010582,0.6708941459655762,5.281966017073649,0.12502441203428638,0.2614859640598297,0.2614859640598297,0.02734975330531597,0.5601152777671814,0.8247109120521172,0.7869049942771975,0.15798035264015198,0.10111146937581705,0.7106958627700806,0.3866540491580963,0.32404181361198425,1721.0
1.0,1408,180,0.0964953750371933,0.04967851936817169,0.046816859394311905,0.3327169120311737,0.42792195081710815,0.33541566133499146,0.42792195081710815,0.2566927969455719,0.042652517557144165,0.6445737481117249,5.312988100016446,0.10211623598028112,0.2469543069601059,0.2469543069601059,0.02623482048511505,0.46131056547164917,0.8362106406080347,0.7878846525881787,0.1569867879152298,0.1086244302813152,0.6176941394805908,0.26800596714019775,0.34968817234039307,1721.0
