checkpoint_step,split,transitions,episodes,auroc,auprc,brier,ece,q1_q2_abs,preview_only_auroc,residual_abs_mean,future_shuffle_auroc,future_removed_auroc,action_shuffle_auroc,same_stage_pairwise_min
3000,validation,974,50,0.9733441558441559,0.9984331322730279,0.15629203033153527,0.28972775421776564,0.02896951511502266,0.9731060606060605,0.00489833764731884,0.036893939393939396,0.9656601731601732,0.970465367965368,0.6326687116564417
3500,validation,974,50,0.9922943722943722,0.9995678827842047,0.1027504525145466,0.2406083616969277,0.027986938133835793,0.9922186147186147,0.003537501208484173,0.008084415584415585,0.9654545454545455,0.9917965367965369,0.8623466257668712
4000,validation,974,50,0.993030303030303,0.9996227184258745,0.07278552021089275,0.20235947671000226,0.026550168171525,0.9931060606060607,0.0029933860059827566,0.005746753246753247,0.9625,0.9925324675324676,0.9129601226993864
4500,validation,974,50,0.9956060606060606,0.9997655305612001,0.06232377868413436,0.1875932391664086,0.029524972662329674,0.9956277056277056,0.0025734466034919024,0.004329004329004329,0.9751948051948052,0.9955627705627705,0.9758435582822086
5000,validation,974,50,0.9951298701298702,0.9997412480038551,0.05323568170075544,0.17745840752179862,0.023800702765583992,0.9950974025974026,0.0025203321129083633,0.004826839826839827,0.9639502164502165,0.9950974025974026,0.978144171779141
5500,validation,974,50,0.9953896103896104,0.9997537751472857,0.047968281673944464,0.16401662936078448,0.023397644981741905,0.9953787878787879,0.0017777712782844901,0.0037012987012987014,0.9722943722943723,0.9953787878787879,0.9808282208588958
6000,validation,974,50,0.995995670995671,0.999788117272305,0.0461375558064214,0.16137308363460418,0.023139342665672302,0.9959848484848485,0.0018446763278916478,0.0030086580086580088,0.9764718614718614,0.9960281385281385,0.9880952380952381
,,,,,,,,,,,,,,
