id,source,seed,episodeIndex,success,abortReason,numSteps,meanAbsCorrection,maxAbsCorrection
exp011_64230002_2,exp011,64230002,2,False,,23,0.025773741244135992,0.06507162842899561
exp011_64230003_3,exp011,64230003,3,False,,23,0.024802624227722055,0.08568872604519129
exp011_64240000_0,exp011,64240000,0,False,,23,0.025665673649991335,0.0676168855279684
exp011_64240001_1,exp011,64240001,1,False,,23,0.02612703097174349,0.09464351553469896
exp011_64240002_2,exp011,64240002,2,False,,23,0.026163788350379986,0.07984912861138582
exp011_64240003_3,exp011,64240003,3,False,,23,0.02359090702932166,0.06930183991789818
exp011_64250000_0,exp011,64250000,0,False,"planning_failed_30_times_{'left': 'Fail', 'right': 'Success'}",22,0.01536278710277243,0.06543715856969357
exp011_64250001_1,exp011,64250001,1,True,,6,0.036412041556710996,0.10404946841299534
exp011_64250002_2,exp011,64250002,2,True,,5,0.028967811726033688,0.05138520710170269
exp011_64250003_3,exp011,64250003,3,False,,23,0.024269765850318516,0.07312452513724566
exp011_64260000_0,exp011,64260000,0,True,,8,0.037793837662320584,0.06602009385824203
exp011_64260001_1,exp011,64260001,1,False,,23,0.030792122200617323,0.1248703645542264
exp011_64260002_2,exp011,64260002,2,True,,6,0.016359861784925062,0.033392131328582764
exp011_64260003_3,exp011,64260003,3,True,,5,0.012679889984428882,0.018874087370932102
exp012_64230000_0,exp012,64230000,0,False,,23,0.025095795716523477,0.08633216470479965
exp012_64230001_1,exp012,64230001,1,True,,13,0.018734321392212924,0.03781357407569885
exp012_64230002_2,exp012,64230002,2,False,,23,0.015136107215252907,0.07021267712116241
exp012_64230003_3,exp012,64230003,3,False,,23,0.021257936063668003,0.08196842018514872
exp012_64240000_0,exp012,64240000,0,False,,23,0.025991601024187454,0.07618948444724083
exp012_64240001_1,exp012,64240001,1,False,,23,0.02720794077132545,0.07232459634542465
exp012_64240002_2,exp012,64240002,2,False,,23,0.022581008718470515,0.08692220039665699
exp012_64240003_3,exp012,64240003,3,False,,23,0.04052810802164933,0.11308395583182573
exp012_64250000_0,exp012,64250000,0,False,,23,0.021772350630034572,0.05628770962357521
exp012_64250001_1,exp012,64250001,1,False,,23,0.01759014963982222,0.04689961299300194
exp012_64250002_2,exp012,64250002,2,False,,23,0.025370377804274143,0.07602414861321449
