run,run_title,step,source_order,approx_kl,sample_approx_kl,gaussian_kl,post_step_gaussian_kl,post_step_sample_approx_kl,target_kl,target_kl_reached,clip_fraction,post_step_clip_fraction,policy_loss,post_step_policy_loss,grad_norm,reward_std,active_rank_count,param_delta_l2,ppo_epochs_completed,groups_attempted,invalid_seed_count,zero_advantage_groups,timing_update_s,timing_rollout_s,timing_loss_total_s,timing_checkpoint_s
u0_30,0-30,1,1,2.440245877972125,0.000562297313286175,2.440245877972125,15.147655963897705,0.0025505043158773333,0.08,1.0,0.0,0.0,0.0036714264116322337,0.0006223507225513458,1.006453042295951,0.3650911303702742,8.0,0.0060108596440634435,1.0,1.0,2.0,0.0,2888.2259583473206,1128.1580765247345,1334.746458530426,16.6390061378479
u0_30,0-30,2,2,1.854526516356402,0.0004339852848516968,1.854526516356402,15.045223832130432,0.002376140735577792,0.08,1.0,0.0,0.0,0.002765866422818778,-0.00022263824939727783,1.0025246439195983,0.40626733750104904,8.0,0.004415777551047672,1.0,2.0,0.0,0.0,2881.6554691791534,1368.9836671352386,1301.7287013530731,16.54528307914734
u0_30,0-30,3,3,1.9643022517848108,0.0003882237641367515,1.9643022517848108,14.835478782653809,0.002322921820450574,0.08,1.0,0.0,0.0,2.2378530400817866e-05,-0.0005779135972261429,1.003060721911927,0.22515832859789953,8.0,0.0036251474938833214,1.0,3.0,1.0,0.0,2708.2366845607758,1095.5826525688171,1208.1384286880493,16.3114652633667
u0_30,0-30,4,5,2.891315403866178,0.0023029982858050755,2.891315403866178,15.907697319984436,0.00423871714156121,0.08,1.0,0.0014930555555555556,0.0014930556062608957,0.004359508107152573,0.0016330182552337646,1.0040300330603609,0.43604714050889015,8.0,0.0060164249055342164,1.0,1.0,1.0,0.0,2942.8484966754913,1130.8065247535706,1392.2473616600037,16.929406881332397
u0_30,0-30,5,6,2.6873525255918502,0.0005853753154909527,2.6873525255918502,15.530991196632385,0.0025116119941230863,0.08,1.0,0.0,0.0,-0.003734277773223703,-0.0013732193037867546,1.0007596168089257,0.30387954066100065,8.0,0.004355696692770286,1.0,2.0,1.0,0.0,2669.5848932266235,903.151162147522,1159.7225551605225,17.57767343521118
u0_30,0-30,6,7,1.9592160826664664,0.0004159086091309122,1.9592160826664664,15.041966710771833,0.0023793429468891452,0.08,1.0,0.0,0.0,0.0010785799549194572,-0.00044383427926472256,1.0026257542164898,0.4011956240449633,7.0,0.0035580755068380177,1.0,3.0,1.0,0.0,3020.2449114322662,1188.814730644226,1416.2052643299103,16.460585832595825
u0_30,0-30,7,8,2.3821791030073176,0.0005135369426563184,2.3821791030073176,15.342331647872925,0.0025184417609125376,0.08,1.0,0.0003125,0.0003124999930150807,-0.0027817905299192813,-0.00025760289281606674,1.0024936911305895,0.34957836029934697,8.0,0.003204889908161763,1.0,4.0,0.0,0.0,2627.4306721687317,1289.5525877475739,1164.5579903125763,16.644543886184692
u0_30,0-30,8,9,1.8218833423697185,0.0004378963836225636,1.8218833423697185,15.071376085281372,0.0023936750076245517,0.08,1.0,0.0003125,0.0003124999930150807,0.00031730392682478023,-0.0012220581993460655,1.001417466935569,0.3194686374627054,8.0,0.002850734132138851,1.0,5.0,1.0,0.0,3455.559164762497,1034.428092956543,1739.9071118831635,17.395546913146973
u0_30,0-30,9,10,0.807475568113366,0.00023374621069737457,0.807475568113366,14.60499940599714,0.002184041675978473,0.08,1.0,0.0,0.0,0.00025784670240068926,-0.0006569815533501762,1.0019596057661442,0.3245671471980001,7.0,0.0025376429055835805,1.0,6.0,1.0,0.0,2940.5377361774445,1370.3552265167236,1367.7584738731384,16.227601528167725
u0_30,0-30,10,11,2.532628080819484,0.0005735445611658362,2.532628080819484,15.16711698259626,0.002533783603991781,0.08,1.0,0.0,0.0,0.00024913557680632844,-0.00042720245463507514,1.001752163687195,0.20555134799464472,7.0,0.0023730577922709438,1.0,7.0,1.0,0.0,2459.813681602478,922.0113410949707,1049.6525795459747,16.770906925201416
u0_30,0-30,11,12,1.4036700462554283,0.0003172729357139619,1.4036700462554283,14.838616371154785,0.002302848268300295,0.08,1.0,0.0,0.0,0.0022847484802413272,-0.00020701531320810318,1.0044320481277516,0.38433273509144783,8.0,0.0022740527528256377,1.0,8.0,0.0,0.0,3273.007396697998,1145.1464128494263,1622.3888523578644,16.970635175704956
u0_30,0-30,12,13,1.5088829221458278,0.0005606560109673985,1.5088829221458278,15.21526404789516,0.002658281575090119,0.08,1.0,0.0009398496240601503,0.0009398496310625758,0.0013168820851441956,0.00012426929814474924,1.0054026913417682,0.40732088685035706,7.0,0.0021923489090433772,1.0,9.0,0.0,0.0,3008.7344834804535,1423.1215057373047,1429.8154752254486,16.327934980392456
