run,run_title,step,source_order,approx_kl,sample_approx_kl,gaussian_kl,post_step_gaussian_kl,post_step_sample_approx_kl,target_kl,target_kl_reached,clip_fraction,post_step_clip_fraction,policy_loss,post_step_policy_loss,grad_norm,reward_std,active_rank_count,param_delta_l2,ppo_epochs_completed,groups_attempted,invalid_seed_count,zero_advantage_groups,timing_update_s,timing_rollout_s,timing_loss_total_s,timing_checkpoint_s
u0_30,0-30,13,14,2.2893221857090644,0.0005098397111084954,2.2893221857090644,15.065448880195618,0.0024717170745134354,0.08,1.0,0.0,0.0,4.5239123346172555e-05,-0.0009631980210542679,1.0017739571631001,0.2329541979561327,8.0,0.00210880469118529,1.0,10.0,3.0,0.0,2256.4046971797943,993.1402342319489,925.7696132659912,16.17259407043457
u0_30,0-30,14,15,1.0944676475498438,0.0002792966338751012,1.0944676475498438,14.92951842716762,0.0023734253565115587,0.08,1.0,0.0,0.0,0.00025708803898365516,0.0005897060036659241,0.9993925780171347,0.29888599469060345,7.0,0.0020720898365204476,1.0,11.0,2.0,0.0,2589.1271557807922,1166.7312915325165,1200.6572623252869,16.20320773124695
u0_30,0-30,15,16,0.7537525196955599,0.00017633783752711365,0.7537525196955599,14.639497756958008,0.002191504609072581,0.08,1.0,0.0,0.0,0.00037273171104510415,0.0002482859417796135,1.003634497079846,0.2898249094141647,8.0,0.0019949694417607422,1.0,12.0,0.0,0.0,2543.791175842285,1109.7913382053375,1125.0156908035278,16.495671033859253
u0_30,0-30,16,17,1.488504532197663,0.0005194944689756413,1.488504532197663,15.005898594856262,0.0025984927196986973,0.08,1.0,0.0009375,0.0009374999790452421,-0.004005187672089079,-0.001624814234673977,1.00051060195318,0.31968967366265133,8.0,0.0018377135292134493,1.0,13.0,0.0,0.0,2817.0388951301575,1230.3275754451752,1282.1700820922852,16.227558135986328
u0_30,0-30,17,18,1.9008924388078818,0.00040429137947777655,1.9008924388078818,15.004748753138951,0.0024751553178897928,0.08,1.0,0.0,0.0,0.002826381009180999,0.0010223143867083959,1.0000906380636443,0.40510657003947664,7.0,0.0017987347088344852,1.0,14.0,3.0,0.0,2659.9328660964966,1013.9923384189606,1139.783554315567,16.30546522140503
u0_30,0-30,18,19,2.3323518718999847,0.0005308282714478022,2.3323518718999847,15.249827226003012,0.0024490041735892496,0.08,1.0,0.0,0.0,-0.0017461600051345949,-0.0015819060305754344,0.9988687081331704,0.2316655625278751,6.0,0.0017699295773032143,1.0,14.0,1.0,0.0,3270.567895889282,1219.3704199790955,1456.88090133667,16.692256689071655
u0_30,0-30,19,20,2.0846575945553725,0.0004368406443730653,2.0846575945553725,14.989498496055603,0.0023390470014419407,0.08,1.0,0.0,0.0,0.0014611953602086175,0.00014156196266412735,0.9998777013190523,0.2926961481280159,8.0,0.0017165780650289246,1.0,15.0,0.0,0.0,3070.3522922992706,1035.6178350448608,1428.648248910904,17.17752432823181
u0_30,0-30,20,21,3.0856687003356673,0.0006813127654162166,3.0856687003356673,15.613678693771362,0.002522442751796916,0.08,1.0,0.0,0.0,0.0022203007571783492,0.00030235759913921356,0.998870517374476,0.3635812384309247,8.0,0.0016969821998155013,1.0,16.0,1.0,0.0,2819.8763983249664,1194.6608633995056,1296.9520933628082,16.23275065422058
u0_30,0-30,21,22,1.66158031331299,0.00036042835250017346,1.66158031331299,15.072521567344666,0.0024128431105054915,0.08,1.0,0.0,0.0,0.0005137382728944914,-0.00036913808435201645,1.0049901173292932,0.30674834217643365,8.0,0.0016784771647546312,1.0,17.0,0.0,0.0,2440.1898477077484,1088.3824062347412,1017.383239030838,17.550580978393555
u0_30,0-30,22,23,2.0622801912829294,0.0005658373146531721,2.0622801912829294,15.271430969238281,0.0025026903354695867,0.08,1.0,0.00035714285714285714,0.0003571428491600922,-0.000794277628611397,-0.0008625026260103498,1.0011871739773879,0.38087882314409527,7.0,0.0016915676140324297,1.0,18.0,0.0,0.0,2702.5177717208862,1227.8689711093903,1251.497983455658,16.943520545959473
u0_30,0-30,23,24,2.14839909715458,0.000442650546574658,2.14839909715458,15.004757165908813,0.002516111882869154,0.08,1.0,0.0,0.0,0.0016749742500384683,0.0005783075466752052,1.0035240759087005,0.2720922456064727,8.0,0.0016644287997871125,1.0,19.0,0.0,0.0,2961.799741268158,941.5470583438873,1235.1431517601013,16.648218631744385
u0_30,0-30,24,25,2.3900109560293026,0.0005050572998266591,2.3900109560293026,15.090957999229431,0.0024552721879445016,0.08,1.0,0.0,0.0,0.0015123401811503994,3.1581148505210876e-06,1.003704092671107,0.38414880633354187,8.0,0.0016406746267921318,1.0,20.0,2.0,0.0,3090.988879919052,1132.7399747371674,1484.5514960289001,16.80536937713623
u0_30,0-30,25,26,3.463941566630736,0.0007536889700687843,3.463941566630736,15.350388526916504,0.0024787553508455553,0.08,1.0,0.0,0.0,0.003869052175559537,0.0017190277576446533,1.0022473290917722,0.33000226703006774,6.0,0.0016040173800413514,1.0,21.0,1.0,0.0,3220.431219816208,906.4275531768799,1527.4963428974152,17.279134511947632
u0_30,0-30,26,27,2.7822810733357546,0.0005611648204990321,2.7822810733357546,15.357399582862854,0.0023958875390235335,0.08,1.0,0.0,0.0,0.0026102345012269834,0.00039511173963546753,1.0058622546923026,0.2585270056151785,8.0,0.001571562524125754,1.0,22.0,0.0,0.0,2362.853579521179,1172.1274757385254,1001.5630040168762,16.414490461349487
u0_30,0-30,27,28,2.0400114768267614,0.00045812476678627593,2.0400114768267614,15.097179685320173,0.0024889539262013777,0.08,1.0,0.0,0.0,0.00021071815519020952,-0.0012459584644862584,1.0049092731414333,0.24963073385879397,7.0,0.001595608253593128,1.0,23.0,1.0,0.0,2422.3490555286407,1161.5629982948303,1047.707039117813,16.410022974014282
u0_30,0-30,28,29,2.391131640629549,0.0004931868853080399,2.391131640629549,15.057548642158508,0.0024855794035829604,0.08,1.0,0.0,0.0,0.0011675881188804036,-0.0001882202923297882,1.004350274815521,0.2872939082153607,8.0,0.00160606806462635,1.0,24.0,1.0,0.0,2709.2140736579895,1139.8845155239105,1117.0640921592712,16.7192485332489
u0_30,0-30,29,30,0.7657361090735982,0.00017799177866715857,0.7657361090735982,14.725395043691,0.0022608888490746417,0.08,1.0,0.0,0.0,0.000998091424489368,0.0008608599503835043,1.0028217753433575,0.2914731932493548,6.0,0.0016301857826853997,1.0,25.0,1.0,0.0,2702.446220397949,1033.3700485229492,997.2172901630402,15.698261976242065
u0_30,0-30,30,31,1.9733773887976567,0.0004766173771250026,1.9733773887976567,15.260846495628357,0.002395717616309412,0.08,1.0,0.0,0.0,0.002318758113185891,0.0007177824154496193,1.000251219755551,0.37260713026626036,8.0,0.0016310344151637729,1.0,26.0,1.0,0.0,2886.988439798355,1156.3639423847198,1350.7689266204834,16.27192449569702
u30_40,30-40,31,1,1.8940313472729842,0.00045853130422954274,1.8940313472729842,15.30472207069397,0.0025129927089437842,0.08,1.0,0.0,0.0,-0.0011657980684920623,-0.0006775599904358387,0.9991948861691157,0.27801884221844375,8.0,0.005984349879496052,1.0,2.0,1.0,0.0,4958.1082010269165,2230.2416455745697,2255.5246946811676,16.174602270126343
u30_40,30-40,32,2,1.6689275583879175,0.00035013713799691114,1.6689275583879175,15.197357177734375,0.0024681772047188133,0.08,1.0,0.0,0.0,0.0016895500397545544,-0.0005819411017000675,1.0063048555648606,0.2721956238926699,8.0,0.004364731913992157,1.0,4.0,1.0,0.0,4862.491528749466,2172.9723081588745,2179.7416818141937,16.892648935317993
u30_40,30-40,33,3,1.972821076618898,0.00047069064774097675,1.972821076618898,15.177347421646118,0.002503928350051865,0.08,1.0,0.00015625,0.00015624999650754035,0.0009503697344007793,-0.0001866254024207592,1.0030733481788001,0.3358787723991554,8.0,0.0036446894244730704,1.0,6.0,1.0,0.0,5869.584253311157,2088.8614354133606,2888.672614812851,17.83621311187744
u30_40,30-40,34,5,3.267575104377356,0.0007222964323947568,3.267575104377356,15.679545998573303,0.002575184596935287,0.08,1.0,0.0,0.0,0.0023489380825575993,0.00041605113074183464,1.0042529204101711,0.31082992929105574,8.0,0.005950855333692795,1.0,1.0,2.0,0.0,4731.762807607651,1840.3835682868958,2052.2450766563416,15.795716047286987
u30_40,30-40,35,6,2.473086312022535,0.0008622117152863596,2.473086312022535,15.600837349891663,0.002913511823862791,0.08,1.0,0.0005902777777777778,0.001001461991108954,0.001380603510437887,-0.00019455654546618462,0.9994091098047284,0.33823822464910336,8.0,0.004416543788880206,1.0,3.0,1.0,0.0,5078.873728752136,2397.1219267845154,2342.0530865192413,16.47335982322693
u30_40,30-40,36,7,2.9481251916943356,0.0006397895832005719,2.9481251916943356,15.678760766983032,0.002556793886469677,0.08,1.0,0.0,0.0,0.003511948229645782,0.00013426505029201508,1.0002760313628998,0.347147883818252,8.0,0.0036494101729026025,1.0,5.0,3.0,0.0,5510.954868793488,2191.4080340862274,2591.9396991729736,17.04517698287964
u30_40,30-40,37,8,1.2190498190685801,0.00028801059177484023,1.2190498190685801,15.03511106967926,0.002417133189737797,0.08,1.0,0.0,0.0,0.0003598370289469299,-0.0002661561593413353,1.0015125528298705,0.3067451725655701,8.0,0.003218943072364894,1.0,7.0,1.0,0.0,5134.665588378906,2169.6139006614685,2397.9370658397675,16.73160696029663
u30_40,30-40,38,9,3.13945589388611,0.0007174761759817398,3.13945589388611,15.613444805145264,0.002613101532915607,0.08,1.0,0.0,0.0,0.001581493801085296,0.000519889872521162,1.0056876089694262,0.3303398215211928,8.0,0.0029127752852676756,1.0,9.0,2.0,0.0,5417.352722167969,2485.422156572342,2487.209907054901,16.185061931610107
u30_40,30-40,39,11,2.96917630361214,0.0006399800558630152,2.96917630361214,15.663267374038696,0.002659323188709095,0.08,1.0,0.0,0.0,0.0021127914262114036,0.0009670238941907883,0.9952195876446516,0.35237985923387377,8.0,0.0060269277055958895,1.0,1.0,2.0,0.0,5184.61921954155,2543.874008655548,2354.766847372055,16.457407236099243
u30_40,30-40,40,12,2.521601648439096,0.0004976876881432379,2.521601648439096,15.542404174804688,0.0025760127963232143,0.08,1.0,0.0,0.0,0.002211452150161942,0.0013994143477508,0.9992036109939318,0.2953687116969377,7.0,0.004261692081897966,1.0,2.0,2.0,0.0,5379.818618297577,1828.3113005161285,2526.5131928920746,17.012012243270874
