step,train/lr,train/grad_norm,loss_score,loss_kl,loss_disagree,score_min,score_mean,score_disagree,kl_to_base
1,1.0000000000000001e-07,1.8774229288101196,0.028880605474114418,0.0,3.8032459997339174e-05,-0.028880605474114418,-0.0048661367036402225,0.0007606492144986987,0.0
2,2.0000000000000002e-07,7.166179656982422,0.019573871046304703,0.0,2.168966966564767e-05,-0.019573871046304703,-0.00203714263625443,0.00043379340786486864,0.0
3,3.0000000000000004e-07,5.859183311462402,0.026120591908693314,9.826435416471213e-06,4.958441058988683e-05,-0.026120591908693314,0.002002484630793333,0.0009916882263496518,9.826434688875452e-05
4,4.0000000000000003e-07,0.9251846075057983,0.030883027240633965,6.6121979216404725e-06,3.519868550938554e-05,-0.030883027240633965,-0.0075525278225541115,0.0007039736956357956,6.612197466893122e-05
5,5.000000000000001e-07,11.163910865783691,0.031982794404029846,1.4599925634684041e-05,3.563283462426625e-05,-0.031982794404029846,-0.008251368068158627,0.0007126567652449012,0.0001459992490708828
6,6.000000000000001e-07,4.04700231552124,0.02730567380785942,9.247613888874184e-06,2.8289945475989953e-05,-0.02730567380785942,-0.007277672179043293,0.0005657988949678838,9.247614070773125e-05
7,7.000000000000001e-07,1.156661868095398,0.018053896725177765,6.465456408477621e-06,5.0774771807482466e-05,-0.018053896725177765,0.010338516905903816,0.0010154955089092255,6.465456681326032e-05
8,8.000000000000001e-07,1.5737227201461792,0.04493960738182068,9.973055966838729e-06,5.037721712142229e-05,-0.04493960738182068,-0.01898203231394291,0.0010075443424284458,9.973056148737669e-05
9,9.000000000000001e-07,0.7894541621208191,0.028730569407343864,3.9951402868609875e-05,2.4442724679829553e-05,-0.028730569407343864,-0.006193327717483044,0.0004888544790446758,0.0003995140141341835
10,1.0000000000000002e-06,0.7562355995178223,0.052078746259212494,2.349523128941655e-05,4.1823088395176455e-05,-0.052078746259212494,-0.025996264070272446,0.0008364616660401225,0.00023495234199799597
11,1.1e-06,0.5313584804534912,0.030398011207580566,0.00019599731604103,2.134975147782825e-05,-0.030398011207580566,-0.009896292351186275,0.00042699501500464976,0.0019599730148911476
12,1.2000000000000002e-06,1.8661214113235474,0.027080483734607697,0.00036341152735985816,2.630359449540265e-05,-0.027080483734607697,-0.0059548672288656235,0.0005260718753561378,0.0036341154482215643
13,1.3e-06,0.60572350025177,0.023285415023565292,3.083494812017307e-05,2.5367775378981605e-05,-0.023285415023565292,-0.0027552947867661715,0.0005073554930277169,0.00030834946664981544
14,1.4000000000000001e-06,4.025558948516846,0.03011082485318184,0.0011398220667615533,2.3134889488574117e-05,-0.03011082485318184,-0.01156933419406414,0.0004626978188753128,0.01139822043478489
15,1.5e-06,1.4721920490264893,0.017941288650035858,0.001327763544395566,2.3505237550125457e-05,-0.017941288650035858,-0.0015937825664877892,0.000470104772830382,0.013277634978294373
16,1.6000000000000001e-06,2.2352514266967773,0.023031506687402725,0.0018033301457762718,3.645848482847214e-05,-0.023031506687402725,9.545939974486828e-05,0.0007291696965694427,0.018033303320407867
17,1.7000000000000002e-06,1.4781758785247803,0.013645237311720848,0.0013439459726214409,2.1430565539048985e-05,-0.013645237311720848,0.005443911999464035,0.00042861129622906446,0.013439459726214409
18,1.8000000000000001e-06,1.3954923152923584,0.0331495925784111,0.0008938446408137679,3.1672905606683344e-05,-0.0331495925784111,-0.012327248230576515,0.0006334581412374973,0.008938446640968323
19,1.9000000000000002e-06,2.62050724029541,0.021621115505695343,0.0041267722845077515,1.8056869521387853e-05,-0.021621115505695343,-0.0026273331604897976,0.00036113738315179944,0.041267722845077515
20,2.0000000000000003e-06,2.030693769454956,0.023931628093123436,0.003683179384097457,1.5008825357654132e-05,-0.023931628093123436,-0.00825892761349678,0.000300176499877125,0.03683179244399071
21,2.1000000000000002e-06,0.5177155137062073,0.008793247863650322,0.0027634550351649523,1.4335495507111773e-05,-0.008793247863650322,0.0075659798458218575,0.00028670989559032023,0.027634548023343086
22,2.2e-06,2.899395704269409,0.013583289459347725,0.004096569027751684,1.8930297301267274e-05,-0.013583289459347725,0.003419618122279644,0.00037860593874938786,0.040965691208839417
23,2.3000000000000004e-06,1.8799232244491577,0.02273750491440296,0.005068858154118061,2.0701862013083883e-05,-0.02273750491440296,-0.003530684858560562,0.00041403723298572004,0.05068857967853546
