run_id,task,layout_id,success,score,env_steps
tower-v2-output-off,build_tower,12,False,0.3,1050
tower-v2-output-off,build_tower,13,False,0.1,1050
tower-v2-output-off,build_tower,14,False,0.1,1050
tower-v2-output-off,build_tower,15,False,0.3,1050
tower-v2-output-on,build_tower,0,False,0.3,1050
tower-v2-output-on,build_tower,1,False,0.0,1050
tower-v2-output-on,build_tower,2,False,0.0,1050
tower-v2-output-on,build_tower,3,False,0.3,1050
tower-v2-output-on,build_tower,4,False,0.1,1050
tower-v2-output-on,build_tower,5,False,0.1,1050
tower-v2-output-on,build_tower,6,True,1.0,772
tower-v2-output-on,build_tower,7,False,0.0,1050
tower-v2-output-on,build_tower,8,False,0.1,1050
tower-v2-output-on,build_tower,9,False,0.1,1050
tower-v2-output-on,build_tower,10,False,0.1,1050
tower-v2-output-on,build_tower,11,False,0.1,1050
tower-v2-output-on,build_tower,12,False,0.1,1050
tower-v2-output-on,build_tower,13,False,0.3,1050
tower-v2-output-on,build_tower,14,False,0.1,1050
tower-v2-output-on,build_tower,15,False,0.0,1050
tower-token_04,build_tower,0,False,0.0,1050
tower-token_04,build_tower,1,False,0.0,1050
tower-token_04,build_tower,2,False,0.0,1050
tower-token_04,build_tower,3,False,0.0,1050
tower-token_04,build_tower,4,False,0.0,1050
tower-token_04,build_tower,5,False,0.0,1050
tower-token_04,build_tower,6,False,0.0,1050
tower-token_04,build_tower,7,False,0.0,1050
tower-token_04,build_tower,8,False,0.3,1050
tower-token_04,build_tower,9,False,0.1,1050
tower-token_04,build_tower,10,False,0.0,1050
tower-token_04,build_tower,11,False,0.1,1050
tower-token_04,build_tower,12,False,0.0,1050
tower-token_04,build_tower,13,False,0.0,1050
tower-token_04,build_tower,14,False,0.3,1050
tower-token_04,build_tower,15,False,0.0,1050
tower-token_08,build_tower,0,False,0.1,1050
tower-token_08,build_tower,1,False,0.0,1050
tower-token_08,build_tower,2,False,0.1,1050
tower-token_08,build_tower,3,False,0.0,1050
tower-token_08,build_tower,4,False,0.0,1050
tower-token_08,build_tower,5,False,0.0,1050
tower-token_08,build_tower,6,False,0.0,1050
tower-token_08,build_tower,7,False,0.1,1050
tower-token_08,build_tower,8,False,0.0,1050
tower-token_08,build_tower,9,False,0.1,1050
tower-token_08,build_tower,10,False,0.0,1050
tower-token_08,build_tower,11,False,0.1,1050
tower-token_08,build_tower,12,False,0.1,1050
tower-token_08,build_tower,13,False,0.0,1050
tower-token_08,build_tower,14,False,0.3,1050
tower-token_08,build_tower,15,False,0.1,1050
tower-token_16,build_tower,0,False,0.0,1050
tower-token_16,build_tower,1,False,0.0,1050
tower-token_16,build_tower,2,False,0.0,1050
tower-token_16,build_tower,3,False,0.0,1050
tower-token_16,build_tower,4,False,0.0,1050
tower-token_16,build_tower,5,False,0.1,1050
tower-token_16,build_tower,6,False,0.0,1050
tower-token_16,build_tower,7,False,0.1,1050
tower-token_16,build_tower,8,False,0.1,1050
tower-token_16,build_tower,9,False,0.3,1050
tower-token_16,build_tower,10,False,0.0,1050
tower-token_16,build_tower,11,False,0.1,1050
tower-token_16,build_tower,12,False,0.0,1050
tower-token_16,build_tower,13,False,0.0,1050
tower-token_16,build_tower,14,False,0.0,1050
tower-token_16,build_tower,15,False,0.1,1050
tower-token_32,build_tower,0,False,0.0,1050
tower-token_32,build_tower,1,False,0.0,1050
tower-token_32,build_tower,2,False,0.1,1050
tower-token_32,build_tower,3,False,0.0,1050
tower-token_32,build_tower,4,False,0.0,1050
tower-token_32,build_tower,5,False,0.0,1050
tower-token_32,build_tower,6,False,0.0,1050
tower-token_32,build_tower,7,False,0.0,1050
tower-token_32,build_tower,8,False,0.1,1050
tower-token_32,build_tower,9,False,0.0,1050
tower-token_32,build_tower,10,False,0.1,1050
tower-token_32,build_tower,11,False,0.1,1050
tower-token_32,build_tower,12,False,0.0,1050
tower-token_32,build_tower,13,False,0.0,1050
tower-token_32,build_tower,14,False,0.3,1050
tower-token_32,build_tower,15,False,0.0,1050
fasten_screws-base,fasten_screws,0,False,0.0,1900
fasten_screws-base,fasten_screws,1,False,0.0,1900
fasten_screws-base,fasten_screws,2,False,0.0,1900
fasten_screws-base,fasten_screws,3,False,0.0,1900
fasten_screws-base,fasten_screws,4,False,0.0,1900
fasten_screws-base,fasten_screws,5,False,0.2,1900
fasten_screws-base,fasten_screws,6,False,0.0,1900
fasten_screws-base,fasten_screws,7,False,0.0,1900
fasten_screws-base,fasten_screws,8,False,0.0,1900
fasten_screws-base,fasten_screws,9,False,0.0,1900
fasten_screws-base,fasten_screws,10,False,0.0,1900
fasten_screws-base,fasten_screws,11,False,0.0,1900
fasten_screws-base,fasten_screws,12,False,0.0,1900
fasten_screws-base,fasten_screws,13,False,0.0,1900
fasten_screws-base,fasten_screws,14,False,0.0,1900
fasten_screws-base,fasten_screws,15,False,0.0,1900
fasten_screws-early-a,fasten_screws,0,False,0.0,1900
fasten_screws-early-a,fasten_screws,1,False,0.0,1900
fasten_screws-early-a,fasten_screws,2,False,0.0,1900
fasten_screws-early-a,fasten_screws,3,False,0.0,1900
fasten_screws-early-a,fasten_screws,4,False,0.0,1900
fasten_screws-early-a,fasten_screws,5,False,0.0,1900
fasten_screws-early-a,fasten_screws,6,False,0.0,1900
fasten_screws-early-a,fasten_screws,7,False,0.0,1900
fasten_screws-early-a,fasten_screws,8,False,0.0,1900
fasten_screws-early-a,fasten_screws,9,False,0.0,1900
fasten_screws-early-a,fasten_screws,10,False,0.0,1900
fasten_screws-early-a,fasten_screws,11,False,0.0,1900
fasten_screws-early-a,fasten_screws,12,False,0.0,1900
fasten_screws-early-a,fasten_screws,13,False,0.0,1900
fasten_screws-early-a,fasten_screws,14,False,0.0,1900
fasten_screws-early-a,fasten_screws,15,False,0.0,1900
insert_tubes-base,insert_tubes,0,False,0.0,500
insert_tubes-base,insert_tubes,1,False,0.0,500
insert_tubes-base,insert_tubes,2,False,0.2,500
insert_tubes-base,insert_tubes,3,False,0.2,500
insert_tubes-base,insert_tubes,4,False,0.0,500
insert_tubes-base,insert_tubes,5,False,0.2,500
insert_tubes-base,insert_tubes,6,False,0.0,500
insert_tubes-base,insert_tubes,7,False,0.0,500
insert_tubes-base,insert_tubes,8,False,0.0,500
insert_tubes-base,insert_tubes,9,False,0.0,500
insert_tubes-base,insert_tubes,10,False,0.0,500
insert_tubes-base,insert_tubes,11,False,0.0,500
insert_tubes-base,insert_tubes,12,False,0.0,500
insert_tubes-base,insert_tubes,13,False,0.0,500
insert_tubes-base,insert_tubes,14,False,0.0,500
insert_tubes-base,insert_tubes,15,False,0.0,500
insert_tubes-early-a,insert_tubes,0,False,0.0,500
insert_tubes-early-a,insert_tubes,1,False,0.0,500
insert_tubes-early-a,insert_tubes,2,False,0.2,500
insert_tubes-early-a,insert_tubes,3,False,0.0,500
insert_tubes-early-a,insert_tubes,4,False,0.0,500
insert_tubes-early-a,insert_tubes,5,False,0.0,500
insert_tubes-early-a,insert_tubes,6,False,0.0,500
insert_tubes-early-a,insert_tubes,7,False,0.0,500
insert_tubes-early-a,insert_tubes,8,False,0.2,500
insert_tubes-early-a,insert_tubes,9,False,0.0,500
insert_tubes-early-a,insert_tubes,10,False,0.0,500
insert_tubes-early-a,insert_tubes,11,False,0.0,500
insert_tubes-early-a,insert_tubes,12,False,0.0,500
insert_tubes-early-a,insert_tubes,13,False,0.0,500
insert_tubes-early-a,insert_tubes,14,False,0.0,500
insert_tubes-early-a,insert_tubes,15,False,0.0,500
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,0,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,1,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,2,True,0.0,590
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,3,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,4,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,5,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,6,True,0.0,430
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,7,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,8,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,9,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,10,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,11,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,12,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,13,False,0.0,700
